product_name,vendor_id,store,country,downloads
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,AE,1069749
"Google Docs: Sync, Edit, Share",842842640,apple,AE,59491
"Microsoft Word",586447913,apple,AE,145910
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,AE,1168804
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,AL,5460
"Google Docs: Sync, Edit, Share",842842640,apple,AL,4321
"Microsoft Word",586447913,apple,AL,50500
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,AL,26433
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,AM,2365
"Google Docs: Sync, Edit, Share",842842640,apple,AM,8942
"Microsoft Word",586447913,apple,AM,14689
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,AM,15016
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,AO,426
"Google Docs: Sync, Edit, Share",842842640,apple,AO,712
"Microsoft Word",586447913,apple,AO,13323
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,AO,48158
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,AR,3706767
"Google Docs: Sync, Edit, Share",842842640,apple,AR,182357
"Microsoft Word",586447913,apple,AR,132831
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,AR,3380806
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,AT,430334
"Google Docs: Sync, Edit, Share",842842640,apple,AT,48103
"Microsoft Word",586447913,apple,AT,111934
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,AT,450886
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,AU,1517821
"Google Docs: Sync, Edit, Share",842842640,apple,AU,414288
"Microsoft Word",586447913,apple,AU,353809
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,AU,1286841
"Google Docs: Sync, Edit, Share",842842640,apple,AZ,1579
"Microsoft Word",586447913,apple,AZ,30465
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,AZ,109580
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,BE,839431
"Google Docs: Sync, Edit, Share",842842640,apple,BE,126799
"Microsoft Word",586447913,apple,BE,132932
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,BE,770158
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,BG,16872
"Google Docs: Sync, Edit, Share",842842640,apple,BG,21240
"Microsoft Word",586447913,apple,BG,34826
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,BG,44993
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,BH,10000
"Google Docs: Sync, Edit, Share",842842640,apple,BH,10212
"Microsoft Word",586447913,apple,BH,21897
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,BH,17978
"Google Docs: Sync, Edit, Share",842842640,apple,BN,2513
"Microsoft Word",586447913,apple,BN,3833
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,BO,251015
"Google Docs: Sync, Edit, Share",842842640,apple,BO,17298
"Microsoft Word",586447913,apple,BO,30750
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,BO,436404
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,BR,17212921
"Google Docs: Sync, Edit, Share",842842640,apple,BR,1066953
"Microsoft Word",586447913,apple,BR,1350148
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,BR,16183486
"Google Docs: Sync, Edit, Share",842842640,apple,BT,1801
"Microsoft Word",586447913,apple,BT,1732
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,BY,69651
"Google Docs: Sync, Edit, Share",842842640,apple,BY,31244
"Microsoft Word",586447913,apple,BY,43499
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,BY,84069
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,CA,1796829
"Google Docs: Sync, Edit, Share",842842640,apple,CA,865146
"Microsoft Word",586447913,apple,CA,500873
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,CA,1589852
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,CH,329736
"Google Docs: Sync, Edit, Share",842842640,apple,CH,58697
